,forecast_temp
2025-10-01 01:00:00,19.26881147683052
2025-10-01 02:00:00,19.26851607873479
2025-10-01 03:00:00,19.269571960513247
2025-10-01 04:00:00,19.27159828014368
2025-10-01 05:00:00,19.274313825622887
2025-10-01 06:00:00,19.27751071613359
2025-10-01 07:00:00,19.281036942238273
2025-10-01 08:00:00,19.284779560815743
2025-10-01 09:00:00,19.288657274643494
2025-10-01 10:00:00,19.292610611256745
2025-10-01 11:00:00,19.296597121501726
2025-10-01 12:00:00,19.30058723283173
2025-10-01 13:00:00,19.304559666107984
2025-10-01 14:00:00,19.308500126114176
2025-10-01 15:00:00,19.312399009956916
2025-10-01 16:00:00,19.316248897218575
2025-10-01 17:00:00,19.32004575031898
2025-10-01 18:00:00,19.32378651379204
2025-10-01 19:00:00,19.327469223409572
2025-10-01 20:00:00,19.331092787933684
2025-10-01 21:00:00,19.334656225250278
2025-10-01 22:00:00,19.33815953535936
2025-10-01 23:00:00,19.341602500013344
2025-10-02 00:00:00,19.344985119212236
